test,variant,scope,traffic_rows,rc,elapsed_s,stats_exists,max_no_task_ms,log,stats
test07_dp_reduce_scatter,case04_l1_l2_lane_down,NONE,342,0,270.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test07_dp_reduce_scatter__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test07_dp_reduce_scatter,case02_host_l1_lane_down,POD_LOCAL,342,0,405.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test07_dp_reduce_scatter__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test07_dp_reduce_scatter,case03_host_l1_port_down,POD_LOCAL,342,0,420.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test07_dp_reduce_scatter__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test07_dp_reduce_scatter,case05_l1_l2_port_down,NONE,342,0,255.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test07_dp_reduce_scatter__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test07_dp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
test08_dp_all_gather,case01_standard,NONE,342,0,225.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test08_dp_all_gather__case01_standard.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case01_standard/output/task_statistics.csv
test08_dp_all_gather,case04_l1_l2_lane_down,NONE,342,0,210.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test08_dp_all_gather__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case04_l1_l2_lane_down/output/task_statistics.csv
test08_dp_all_gather,case05_l1_l2_port_down,NONE,342,0,225.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test08_dp_all_gather__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case05_l1_l2_port_down/output/task_statistics.csv
test08_dp_all_gather,case02_host_l1_lane_down,POD_LOCAL,342,0,360.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test08_dp_all_gather__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case02_host_l1_lane_down/output/task_statistics.csv
test08_dp_all_gather,case03_host_l1_port_down,POD_LOCAL,342,0,360.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test08_dp_all_gather__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test08_dp_all_gather/case03_host_l1_port_down/output/task_statistics.csv
test09_dp_reduce_scatter,case01_standard,NONE,342,0,225.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test09_dp_reduce_scatter__case01_standard.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case01_standard/output/task_statistics.csv
test09_dp_reduce_scatter,case04_l1_l2_lane_down,NONE,342,0,225.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test09_dp_reduce_scatter__case04_l1_l2_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case04_l1_l2_lane_down/output/task_statistics.csv
test09_dp_reduce_scatter,case02_host_l1_lane_down,POD_LOCAL,342,0,360.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test09_dp_reduce_scatter__case02_host_l1_lane_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case02_host_l1_lane_down/output/task_statistics.csv
test09_dp_reduce_scatter,case03_host_l1_port_down,POD_LOCAL,342,0,345.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test09_dp_reduce_scatter__case03_host_l1_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case03_host_l1_port_down/output/task_statistics.csv
test09_dp_reduce_scatter,case05_l1_l2_port_down,NONE,342,0,210.0,True,0.000,scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/all45_20260702_102230/test09_dp_reduce_scatter__case05_l1_l2_port_down.log,scratch/pod1d_no_access_pairwise_2mb_full_ps/test09_dp_reduce_scatter/case05_l1_l2_port_down/output/task_statistics.csv
