case_id,block_id,role,control_id,topology_profile,workload_profile,routing_type,selector,candidate_width,traffic_seed_kind,traffic_seed,flow_size_bytes,flow_count,path_delay,path_rate_ratio,interarrival_gap_ns,active_ingress_count,transport,observability,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,p99_task_duration_us,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,branch_total_bytes,unique_branch_ports,path_jain,path_cv,max_path_share,last_path_share,detour_share,slow_path_share,queue_max_bytes,queue_tw_mean_max_bytes,slow_path_queue_max_bytes,slow_path_queue_tw_mean_bytes,packet_records,psn_adjacent_inversions,psn_inversions_per_1000,per_flow_affinity_violations,analysis_status,analysis_note,p95_delta_vs_control_pct,goodput_delta_vs_control_pct,jain_delta_vs_control,comparison_cell,pareto
s-256k-d20u-flow-hash64,spray-crossover,control,s-256k-d20u-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,262144,1,20us,1.0,0,0,RTP,detailed,success,1,1,5.655514,5.655514,5.655514,5.655514,370.815456,"{""1"": 0, ""2"": 64, ""3"": 0}","{""1"": 0, ""2"": 267136, ""3"": 0}",267136,1,0.333333,1.414214,1.0,0.0,1.0,0.0,179544,86134.406214,0,0.0,68,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,262144|20us,True
s-8m-d20n-flow-hash64,spray-crossover,control,s-8m-d20n-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,8388608,1,20ns,1.0,0,0,RTP,detailed,success,1,1,171.419954,171.419954,171.419954,171.419954,391.488053,"{""1"": 0, ""2"": 2048, ""3"": 0}","{""1"": 0, ""2"": 8548352, ""3"": 0}",8548352,1,0.333333,1.414214,1.0,0.0,1.0,0.0,969298,836938.794313,0,0.0,2176,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,8388608|20ns,True
s-8m-d20n-packet-rr,spray-crossover,treatment,s-8m-d20n-flow-hash64,micro-spray,single-flow,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,3,none,0,8388608,1,20ns,1.0,0,0,RTP,detailed,success,1,1,57.696847,57.696847,57.696847,57.696847,1163.128793,"{""1"": 684, ""2"": 680, ""3"": 684}","{""1"": 2855016, ""2"": 2838320, ""3"": 2855016}",8548352,3,0.999992,0.002762,0.333984,0.333984,0.666016,0.333984,16696,9367.296013,16696,8151.044508,2176,950,436.580882,1,matched,Observed path scope matches the registered flow/packet behavior.,-66.341814,197.104544,0.666659,8388608|20ns,True
s-8m-d2u-flow-hash64,spray-crossover,control,s-8m-d2u-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,8388608,1,2us,1.0,0,0,RTP,detailed,success,1,1,171.419954,171.419954,171.419954,171.419954,391.488053,"{""1"": 0, ""2"": 2048, ""3"": 0}","{""1"": 0, ""2"": 8548352, ""3"": 0}",8548352,1,0.333333,1.414214,1.0,0.0,1.0,0.0,969298,836938.794313,0,0.0,2176,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,8388608|2us,True
s-8m-d2u-packet-rr,spray-crossover,treatment,s-8m-d2u-flow-hash64,micro-spray,single-flow,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,3,none,0,8388608,1,2us,1.0,0,0,RTP,detailed,success,1,1,63.059906,63.059906,63.059906,63.059906,1064.20812,"{""1"": 683, ""2"": 683, ""3"": 682}","{""1"": 2850842, ""2"": 2850842, ""3"": 2846668}",8548352,3,1.0,0.000691,0.333496,0.333008,0.666504,0.333496,8348,7021.811204,8348,7021.811204,2176,650,298.713235,1,matched,Observed path scope matches the registered flow/packet behavior.,-63.213206,171.836679,0.666666,8388608|2us,True
s-8m-d20u-flow-hash64,spray-crossover,control,s-8m-d20u-flow-hash64,micro-spray,single-flow,PER_FLOW_SHORTEST_PATHS,HASH64,3,none,0,8388608,1,20us,1.0,0,0,RTP,detailed,success,1,1,171.419954,171.419954,171.419954,171.419954,391.488053,"{""1"": 0, ""2"": 2048, ""3"": 0}","{""1"": 0, ""2"": 8548352, ""3"": 0}",8548352,1,0.333333,1.414214,1.0,0.0,1.0,0.0,969298,836938.794313,0,0.0,2176,0,0.0,0,matched,Observed path scope matches the registered flow/packet behavior.,0.0,0.0,0.0,8388608|20us,True
a-screen-r100-g0-hash64,adaptive-signal,control,a-screen-r100-g0-hash64,micro-adaptive,adaptive-screen,PER_PACKET_SHORTEST_PATHS,HASH64,3,none,0,262144,16,20ns,1.0,0,0,RTP,detailed,success,16,16,26.951485,26.733258,30.415046,30.415046,1103.21819,"{""1"": 317, ""2"": 352, ""3"": 355}","{""1"": 1323158, ""2"": 1469248, ""3"": 1481770}",4274176,3,0.997453,0.050537,0.34668,0.34668,0.69043,0.30957,104536,66079.906038,70958,24795.811976,1088,232,213.235294,16,matched,Static-hash control completed with branch evidence.,0.0,0.0,0.0,screen|r1.0|g0,True
a-screen-r100-g0-rr,adaptive-signal,treatment,a-screen-r100-g0-hash64,micro-adaptive,adaptive-screen,PER_PACKET_SHORTEST_PATHS,ROUND_ROBIN,3,none,0,262144,16,20ns,1.0,0,0,RTP,detailed,success,16,16,25.755807,25.532067,29.106657,29.106657,1152.809545,"{""1"": 339, ""2"": 341, ""3"": 344}","{""1"": 1414986, ""2"": 1423334, ""3"": 1435856}",4274176,3,0.999964,0.00602,0.335938,0.335938,0.668945,0.331055,16696,9325.593118,8348,4951.337451,1088,341,313.419118,16,matched,Round-robin path spreading was checked directly.,-4.301782,4.495154,0.002511,screen|r1.0|g0,True
a-screen-r100-g0-adaptive,adaptive-signal,treatment,a-screen-r100-g0-hash64,micro-adaptive,adaptive-screen,PER_PACKET_SHORTEST_PATHS,ADAPTIVE,3,none,0,262144,16,20ns,1.0,0,0,RTP,detailed,success,16,16,25.649902,25.415551,28.999993,28.999993,1157.049659,"{""1"": 343, ""2"": 343, ""3"": 338}","{""1"": 1431682, ""2"": 1431682, ""3"": 1410812}",4274176,3,0.999952,0.006905,0.334961,0.330078,0.665039,0.334961,8348,6991.49225,8348,6584.940603,1088,315,289.522059,16,partially_matched,Only one adaptive advantage metric improved.,-4.652477,4.879494,0.0025,screen|r1.0|g0,True
a-screen-r100-g10u-hash64,adaptive-signal,control,a-screen-r100-g10u-hash64,micro-adaptive,adaptive-screen,PER_PACKET_SHORTEST_PATHS,HASH64,3,none,0,262144,16,20ns,1.0,10000,0,RTP,detailed,success,16,16,2.58768,2.594353,3.067634,3.067634,219.574142,"{""1"": 317, ""2"": 352, ""3"": 355}","{""1"": 1323158, ""2"": 1469248, ""3"": 1481770}",4274176,3,0.997453,0.050537,0.34668,0.34668,0.69043,0.30957,50088,3225.815543,33392,2115.402284,1088,408,375.0,16,matched,Static-hash control completed with branch evidence.,0.0,0.0,0.0,screen|r1.0|g10000,True
