case_id,block_id,role,control_id,topology_profile,workload_profile,routing_type,selector,candidate_width,traffic_seed_kind,traffic_seed,flow_size_bytes,flow_count,path_delay,path_rate_ratio,interarrival_gap_ns,active_ingress_count,transport,observability,run_status,task_count,completed_task_count,mean_task_duration_us,p50_task_duration_us,p95_task_duration_us,p99_task_duration_us,aggregate_task_goodput_gbps,branch_packet_counts,branch_byte_counts,branch_total_bytes,unique_branch_ports,path_jain,path_cv,max_path_share,last_path_share,detour_share,slow_path_share,queue_max_bytes,queue_tw_mean_max_bytes,slow_path_queue_max_bytes,slow_path_queue_tw_mean_bytes,packet_records,psn_adjacent_inversions,psn_inversions_per_1000,per_flow_affinity_violations,analysis_status,analysis_note,p95_delta_vs_control_pct,goodput_delta_vs_control_pct,jain_delta_vs_control,comparison_cell,pareto
h-many-w8-s11-toeplitz,hash-robustness,treatment,h-many-w8-s11-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,8,traffic_key_seed,11,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,116.558355,125.57998,181.75294,193.1459,694.903324,"{""8"": 320, ""9"": 512, ""10"": 448, ""11"": 832, ""12"": 384, ""13"": 448, ""14"": 768, ""15"": 384}","{""8"": 1335680, ""9"": 2137088, ""10"": 1869952, ""11"": 3472768, ""12"": 1602816, ""13"": 1869952, ""14"": 3205632, ""15"": 1602816}",17096704,8,0.895105,0.342327,0.203125,0.09375,0.921875,0.078125,1661252,919314.034973,354976,194252.583986,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,20.855,-11.074902,-0.063697,hash-many|w8|s11,False
h-many-w8-s29-hash64,hash-robustness,control,h-many-w8-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,8,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,111.34776,110.65194,150.3843,150.73806,890.403711,"{""8"": 320, ""9"": 576, ""10"": 576, ""11"": 704, ""12"": 704, ""13"": 512, ""14"": 192, ""15"": 512}","{""8"": 1335680, ""9"": 2404224, ""10"": 2404224, ""11"": 2938496, ""12"": 2938496, ""13"": 2137088, ""14"": 801408, ""15"": 2137088}",17096704,8,0.904594,0.32476,0.171875,0.125,0.921875,0.078125,1473422,798095.523679,638746,360276.93912,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w8|s29,False
h-many-w8-s29-crc32,hash-robustness,treatment,h-many-w8-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,90.715187,86.20718,128.66958,129.0035,1040.419275,"{""8"": 320, ""9"": 448, ""10"": 640, ""11"": 576, ""12"": 576, ""13"": 576, ""14"": 320, ""15"": 640}","{""8"": 1335680, ""9"": 1869952, ""10"": 2671360, ""11"": 2404224, ""12"": 2404224, ""13"": 2404224, ""14"": 1335680, ""15"": 2671360}",17096704,8,0.944649,0.242061,0.15625,0.15625,0.921875,0.078125,1185416,656171.652384,271372,155782.906923,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-14.439486,16.848039,0.040056,hash-many|w8|s29,True
h-many-w8-s29-toeplitz,hash-robustness,treatment,h-many-w8-s29-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,8,traffic_key_seed,29,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,105.115143,106.64986,149.71646,150.40826,892.356098,"{""8"": 832, ""9"": 640, ""10"": 704, ""11"": 128, ""12"": 640, ""13"": 320, ""14"": 384, ""15"": 448}","{""8"": 3472768, ""9"": 2671360, ""10"": 2938496, ""11"": 534272, ""12"": 2671360, ""13"": 1335680, ""14"": 1602816, ""15"": 1869952}",17096704,8,0.847682,0.423896,0.203125,0.109375,0.796875,0.203125,1348512,781488.084667,1344090,733494.040588,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-0.444089,0.21927,-0.056912,hash-many|w8|s29,False
h-many-w8-s47-hash64,hash-robustness,control,h-many-w8-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,HASH64,8,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,101.836262,91.86894,171.40142,171.83866,781.068288,"{""8"": 320, ""9"": 512, ""10"": 320, ""11"": 768, ""12"": 704, ""13"": 640, ""14"": 320, ""15"": 512}","{""8"": 1335680, ""9"": 2137088, ""10"": 1335680, ""11"": 3205632, ""12"": 2938496, ""13"": 2671360, ""14"": 1335680, ""15"": 2137088}",17096704,8,0.901408,0.330719,0.1875,0.125,0.921875,0.078125,1636394,901205.034598,388368,219505.11052,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-many|w8|s47,False
h-many-w8-s47-crc32,hash-robustness,treatment,h-many-w8-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,95.560826,86.8651,149.99086,150.51158,891.743532,"{""8"": 576, ""9"": 320, ""10"": 640, ""11"": 576, ""12"": 448, ""13"": 448, ""14"": 512, ""15"": 576}","{""8"": 2404224, ""9"": 1335680, ""10"": 2671360, ""11"": 2404224, ""12"": 1869952, ""13"": 1869952, ""14"": 2137088, ""15"": 2404224}",17096704,8,0.966038,0.1875,0.15625,0.140625,0.859375,0.140625,1385954,758863.65739,1310698,736135.785137,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-12.491472,14.169727,0.064629,hash-many|w8|s47,False
h-many-w8-s47-toeplitz,hash-robustness,treatment,h-many-w8-s47-hash64,clos-hash,hash-many,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,8,traffic_key_seed,47,262144,64,20ns,1.0,0,0,RTP,balanced,success,64,64,101.043861,106.62506,148.34606,150.36446,892.616034,"{""8"": 576, ""9"": 512, ""10"": 384, ""11"": 576, ""12"": 384, ""13"": 640, ""14"": 512, ""15"": 512}","{""8"": 2404224, ""9"": 2137088, ""10"": 1602816, ""11"": 2404224, ""12"": 1602816, ""13"": 2671360, ""14"": 2137088, ""15"": 2137088}",17096704,8,0.973384,0.165359,0.15625,0.125,0.859375,0.140625,1118880,629329.875918,1064494,606002.968034,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-13.45109,14.281433,0.071976,hash-many|w8|s47,True
h-elephant-w8-s11-hash64,hash-robustness,control,h-elephant-w8-s11-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,HASH64,8,traffic_key_seed,11,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,2330.10475,2474.22506,2738.43326,2738.43326,196.050391,"{""8"": 4096, ""9"": 4096, ""10"": 0, ""11"": 0, ""12"": 8192, ""13"": 0, ""14"": 0, ""15"": 0}","{""8"": 17096704, ""9"": 17096704, ""10"": 0, ""11"": 0, ""12"": 34193408, ""13"": 0, ""14"": 0, ""15"": 0}",68386816,3,0.333333,1.414214,0.5,0.0,0.75,0.25,981820,885454.875953,463624,46192.867422,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.0,0.0,0.0,hash-elephant|w8|s11,False
h-elephant-w8-s11-crc32,hash-robustness,treatment,h-elephant-w8-s11-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,CRC32,8,traffic_key_seed,11,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,1369.67259,1369.62062,1369.74378,1369.74378,391.949881,"{""8"": 4096, ""9"": 0, ""10"": 4096, ""11"": 0, ""12"": 0, ""13"": 8192, ""14"": 0, ""15"": 0}","{""8"": 17096704, ""9"": 0, ""10"": 17096704, ""11"": 0, ""12"": 0, ""13"": 34193408, ""14"": 0, ""15"": 0}",68386816,3,0.333333,1.414214,0.5,0.0,0.75,0.25,981820,885477.408932,472096,403515.242669,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,-49.98075,99.923029,0.0,hash-elephant|w8|s11,True
h-elephant-w8-s11-toeplitz,hash-robustness,treatment,h-elephant-w8-s11-hash64,clos-hash,hash-elephant,PER_FLOW_SHORTEST_PATHS,TOEPLITZ,8,traffic_key_seed,11,16777216,4,20ns,1.0,0,0,RTP,balanced,success,4,4,2394.510495,2731.16638,2738.62828,2738.62828,196.03643,"{""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 12288, ""15"": 4096}","{""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 51290112, ""15"": 17096704}",68386816,2,0.2,2.0,0.75,0.25,1.0,0.0,1015150,902258.359216,0,0.0,,,,,matched,Static per-flow mapping completed; cross-cell ranking is evaluated at block level.,0.007122,-0.007121,-0.133333,hash-elephant|w8|s11,False
