nodeId1,portId1,nodeId2,portId2,bandwidth,delay
14,14,1382,14,112Gbps,20ns
14,15,1383,14,112Gbps,20ns
14,16,1384,14,112Gbps,20ns
14,17,1385,14,112Gbps,20ns
14,18,1386,14,112Gbps,20ns
14,19,1387,14,112Gbps,20ns
14,20,1388,14,112Gbps,20ns
14,21,1389,14,112Gbps,20ns
14,22,1390,14,112Gbps,20ns
14,23,1391,14,112Gbps,20ns
15,0,1368,15,112Gbps,20ns
15,1,1369,15,112Gbps,20ns
15,2,1370,15,112Gbps,20ns
15,3,1371,15,112Gbps,20ns
15,4,1372,15,112Gbps,20ns
15,5,1373,15,112Gbps,20ns
15,6,1374,15,112Gbps,20ns
15,7,1375,15,112Gbps,20ns
15,8,1376,15,112Gbps,20ns
15,9,1377,15,112Gbps,20ns
15,10,1378,15,112Gbps,20ns
15,11,1379,15,112Gbps,20ns
15,12,1380,15,112Gbps,20ns
15,13,1381,15,112Gbps,20ns
15,14,1382,15,112Gbps,20ns
15,15,1383,15,112Gbps,20ns
15,16,1384,15,112Gbps,20ns
15,17,1385,15,112Gbps,20ns
15,18,1386,15,112Gbps,20ns
15,19,1387,15,112Gbps,20ns
15,20,1388,15,112Gbps,20ns
15,21,1389,15,112Gbps,20ns
15,22,1390,15,112Gbps,20ns
15,23,1391,15,112Gbps,20ns
16,0,1368,16,112Gbps,20ns
16,1,1369,16,112Gbps,20ns
16,2,1370,16,112Gbps,20ns
16,3,1371,16,112Gbps,20ns
16,4,1372,16,112Gbps,20ns
16,5,1373,16,112Gbps,20ns
16,6,1374,16,112Gbps,20ns
16,7,1375,16,112Gbps,20ns
16,8,1376,16,112Gbps,20ns
16,9,1377,16,112Gbps,20ns
16,10,1378,16,112Gbps,20ns
16,11,1379,16,112Gbps,20ns
16,12,1380,16,112Gbps,20ns
16,13,1381,16,112Gbps,20ns
16,14,1382,16,112Gbps,20ns
16,15,1383,16,112Gbps,20ns
16,16,1384,16,112Gbps,20ns
16,17,1385,16,112Gbps,20ns
16,18,1386,16,112Gbps,20ns
16,19,1387,16,112Gbps,20ns
16,20,1388,16,112Gbps,20ns
16,21,1389,16,112Gbps,20ns
16,22,1390,16,112Gbps,20ns
16,23,1391,16,112Gbps,20ns
17,0,1368,17,112Gbps,20ns
17,1,1369,17,112Gbps,20ns
17,2,1370,17,112Gbps,20ns
17,3,1371,17,112Gbps,20ns
17,4,1372,17,112Gbps,20ns
17,5,1373,17,112Gbps,20ns
17,6,1374,17,112Gbps,20ns
17,7,1375,17,112Gbps,20ns
17,8,1376,17,112Gbps,20ns
17,9,1377,17,112Gbps,20ns
17,10,1378,17,112Gbps,20ns
17,11,1379,17,112Gbps,20ns
17,12,1380,17,112Gbps,20ns
17,13,1381,17,112Gbps,20ns
17,14,1382,17,112Gbps,20ns
17,15,1383,17,112Gbps,20ns
17,16,1384,17,112Gbps,20ns
17,17,1385,17,112Gbps,20ns
17,18,1386,17,112Gbps,20ns
17,19,1387,17,112Gbps,20ns
17,20,1388,17,112Gbps,20ns
17,21,1389,17,112Gbps,20ns
17,22,1390,17,112Gbps,20ns
17,23,1391,17,112Gbps,20ns
18,0,1368,18,112Gbps,20ns
18,1,1369,18,112Gbps,20ns
18,2,1370,18,112Gbps,20ns
18,3,1371,18,112Gbps,20ns
18,4,1372,18,112Gbps,20ns
18,5,1373,18,112Gbps,20ns
18,6,1374,18,112Gbps,20ns
18,7,1375,18,112Gbps,20ns
18,8,1376,18,112Gbps,20ns
18,9,1377,18,112Gbps,20ns
18,10,1378,18,112Gbps,20ns
18,11,1379,18,112Gbps,20ns
18,12,1380,18,112Gbps,20ns
18,13,1381,18,112Gbps,20ns
18,14,1382,18,112Gbps,20ns
18,15,1383,18,112Gbps,20ns
18,16,1384,18,112Gbps,20ns
18,17,1385,18,112Gbps,20ns
18,18,1386,18,112Gbps,20ns
18,19,1387,18,112Gbps,20ns
18,20,1388,18,112Gbps,20ns
18,21,1389,18,112Gbps,20ns
18,22,1390,18,112Gbps,20ns
18,23,1391,18,112Gbps,20ns
19,0,1368,19,112Gbps,20ns
19,1,1369,19,112Gbps,20ns
19,2,1370,19,112Gbps,20ns
19,3,1371,19,112Gbps,20ns
19,4,1372,19,112Gbps,20ns
19,5,1373,19,112Gbps,20ns
19,6,1374,19,112Gbps,20ns
19,7,1375,19,112Gbps,20ns
19,8,1376,19,112Gbps,20ns
19,9,1377,19,112Gbps,20ns
19,10,1378,19,112Gbps,20ns
19,11,1379,19,112Gbps,20ns
19,12,1380,19,112Gbps,20ns
19,13,1381,19,112Gbps,20ns
19,14,1382,19,112Gbps,20ns
19,15,1383,19,112Gbps,20ns
19,16,1384,19,112Gbps,20ns
19,17,1385,19,112Gbps,20ns
19,18,1386,19,112Gbps,20ns
19,19,1387,19,112Gbps,20ns
19,20,1388,19,112Gbps,20ns
19,21,1389,19,112Gbps,20ns
19,22,1390,19,112Gbps,20ns
19,23,1391,19,112Gbps,20ns
20,0,1368,20,112Gbps,20ns
20,1,1369,20,112Gbps,20ns
20,2,1370,20,112Gbps,20ns
20,3,1371,20,112Gbps,20ns
20,4,1372,20,112Gbps,20ns
20,5,1373,20,112Gbps,20ns
20,6,1374,20,112Gbps,20ns
20,7,1375,20,112Gbps,20ns
20,8,1376,20,112Gbps,20ns
20,9,1377,20,112Gbps,20ns
20,10,1378,20,112Gbps,20ns
20,11,1379,20,112Gbps,20ns
20,12,1380,20,112Gbps,20ns
20,13,1381,20,112Gbps,20ns
20,14,1382,20,112Gbps,20ns
20,15,1383,20,112Gbps,20ns
20,16,1384,20,112Gbps,20ns
20,17,1385,20,112Gbps,20ns
20,18,1386,20,112Gbps,20ns
20,19,1387,20,112Gbps,20ns
20,20,1388,20,112Gbps,20ns
20,21,1389,20,112Gbps,20ns
20,22,1390,20,112Gbps,20ns
20,23,1391,20,112Gbps,20ns
21,0,1368,21,112Gbps,20ns
21,1,1369,21,112Gbps,20ns
21,2,1370,21,112Gbps,20ns
21,3,1371,21,112Gbps,20ns
21,4,1372,21,112Gbps,20ns
21,5,1373,21,112Gbps,20ns
21,6,1374,21,112Gbps,20ns
21,7,1375,21,112Gbps,20ns
21,8,1376,21,112Gbps,20ns
21,9,1377,21,112Gbps,20ns
21,10,1378,21,112Gbps,20ns
21,11,1379,21,112Gbps,20ns
21,12,1380,21,112Gbps,20ns
21,13,1381,21,112Gbps,20ns
21,14,1382,21,112Gbps,20ns
21,15,1383,21,112Gbps,20ns
21,16,1384,21,112Gbps,20ns
21,17,1385,21,112Gbps,20ns
21,18,1386,21,112Gbps,20ns
21,19,1387,21,112Gbps,20ns
21,20,1388,21,112Gbps,20ns
21,21,1389,21,112Gbps,20ns
21,22,1390,21,112Gbps,20ns
21,23,1391,21,112Gbps,20ns
22,0,1368,22,112Gbps,20ns
22,1,1369,22,112Gbps,20ns
22,2,1370,22,112Gbps,20ns
22,3,1371,22,112Gbps,20ns
22,4,1372,22,112Gbps,20ns
22,5,1373,22,112Gbps,20ns
22,6,1374,22,112Gbps,20ns
22,7,1375,22,112Gbps,20ns
22,8,1376,22,112Gbps,20ns
22,9,1377,22,112Gbps,20ns
